Date & Time,Humidity,Temperature,Fahrenheit,No of Occupant
[2022-11-18 08:55:41.943] ,52,20.4,68.72,0
[2022-11-18 08:55:42.803] ,52,20.4,68.72,0
[2022-11-18 08:55:43.811] ,52.1,20.4,68.72,0
[2022-11-18 08:55:44.815] ,52.1,20.4,68.72,0
[2022-11-18 08:55:45.822] ,52.1,20.4,68.72,0
[2022-11-18 08:55:46.825] ,52.1,20.4,68.72,0
[2022-11-18 08:55:47.834] ,52.1,20.5,68.9,0
[2022-11-18 08:55:48.837] ,52.1,20.5,68.9,0
[2022-11-18 08:55:49.841] ,52.1,20.4,68.72,0
[2022-11-18 08:55:50.848] ,52.1,20.4,68.72,0
[2022-11-18 08:55:51.854] ,52.1,20.5,68.9,0
[2022-11-18 08:55:52.854] ,52.1,20.5,68.9,0
[2022-11-18 08:55:53.865] ,52.1,20.4,68.72,0
[2022-11-18 08:55:54.866] ,52.1,20.4,68.72,0
[2022-11-18 08:55:55.872] ,52.1,20.5,68.9,0
[2022-11-18 08:55:56.876] ,52.1,20.5,68.9,0
[2022-11-18 08:55:57.883] ,52.1,20.4,68.72,0
[2022-11-18 08:55:58.887] ,52.1,20.4,68.72,0
[2022-11-18 08:55:59.894] ,52.1,20.4,68.72,0
[2022-11-18 08:56:00.895] ,52.1,20.4,68.72,0
[2022-11-18 08:56:01.905] ,52.1,20.4,68.72,0
[2022-11-18 08:56:02.910] ,52.1,20.4,68.72,0
[2022-11-18 08:56:03.917] ,52.1,20.4,68.72,0
[2022-11-18 08:56:04.920] ,52.1,20.4,68.72,0
[2022-11-18 08:56:05.927] ,52,20.4,68.72,0
[2022-11-18 08:56:06.927] ,52,20.4,68.72,0
[2022-11-18 08:56:07.938] ,51.9,20.4,68.72,0
[2022-11-18 08:56:08.935] ,51.9,20.4,68.72,0
[2022-11-18 08:56:09.945] ,51.9,20.5,68.9,0
[2022-11-18 08:56:10.949] ,51.9,20.5,68.9,0
[2022-11-18 08:56:11.956] ,51.9,20.5,68.9,0
[2022-11-18 08:56:12.960] ,51.9,20.5,68.9,0
[2022-11-18 08:56:13.967] ,51.9,20.5,68.9,0
[2022-11-18 08:56:14.971] ,51.9,20.5,68.9,0
